sku,name,price,url
JQ6445,adidas Originals Samba Jane,$100.00,https://www.footlocker.com/product/adidas-originals-samba-jane-womens/JQ6445.html
U204L2SZ,New Balance 204L,$120.00,https://www.footlocker.com/product/new-balance-204l-womens/U204L2SZ.html
IH6484,adidas Originals Samba Jane,$110.00,https://www.footlocker.com/product/adidas-originals-samba-jane-womens/IH6484.html
JR4790,adidas Originals Tokyo Mary Jane,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-mary-jane-womens/JR4790.html
IH6561,adidas Originals Samba Jane,$110.00,https://www.footlocker.com/product/adidas-originals-samba-jane-womens/IH6561.html
JQ05930,adidas Originals Tokyo,This item is on sale. Price dropped from $90.00 to $79.99$79.99$90.0011% off,https://www.footlocker.com/product/adidas-originals-tokyo-womens/JQ05930.html
KI6954,adidas Japan Cow Print,$130.00,https://www.footlocker.com/product/adidas-japan-cow-print-womens/KI6954.html
40098601,PUMA Speedcat OG,$100.00,https://www.footlocker.com/product/puma-speedcat-og-womens/40098601.html
JS0254,adidas Originals SL 72,This item is on sale. Price dropped from $100.00 to $59.99$59.99$100.0040% off,https://www.footlocker.com/product/adidas-originals-sl-72-womens/JS0254.html
JI0182,adidas Originals Tokyo,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-womens/JI0182.html
JR1402,adidas Originals Samba Jane,$100.00,https://www.footlocker.com/product/adidas-originals-samba-jane-womens/JR1402.html
IH3999,adidas Originals Tokyo Mary Jane,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-mary-jane-womens/IH3999.html
KI3585,adidas Originals Tokyo,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-womens/KI3585.html
52360257,New Balance 204L,$120.00,https://www.footlocker.com/product/new-balance-204l-womens/52360257.html
HQ7398,adidas Barreda Mary Jane,$70.00,https://www.footlocker.com/product/adidas-barreda-mary-jane-womens/HQ7398.html
JI0183,adidas Originals Tokyo,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-womens/JI0183.html
40819701,PUMA Speedcat Ballet Lux,$100.00,https://www.footlocker.com/product/puma-speedcat-ballet-lux-womens/40819701.html
40490602,PUMA Speedcat Go Bejewelled,$100.00,https://www.footlocker.com/product/puma-speedcat-go-bejewelled-womens/40490602.html
KI3584,adidas Originals Tokyo,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-womens/KI3584.html
40098602,PUMA Speedcat OG,$100.00,https://www.footlocker.com/product/puma-speedcat-og-womens/40098602.html
IH6609,adidas Originals Tokyo,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-womens/IH6609.html
55006599,adidas Originals Samba Jane,$110.00,https://www.footlocker.com/product/adidas-originals-samba-jane-womens/55006599.html
U204L6A6,New Balance 204L,$120.00,https://www.footlocker.com/product/new-balance-204l-womens/U204L6A6.html
KH8967,adidas Originals SL 72,$110.00,https://www.footlocker.com/product/adidas-originals-sl-72-womens/KH8967.html
40614401,PUMA Speedcat Ballet Leather,$90.00,https://www.footlocker.com/product/puma-speedcat-ballet-leather-womens/40614401.html
KJ6155,adidas Originals Japan,$120.00,https://www.footlocker.com/product/adidas-originals-japan-womens/KJ6155.html
40713501,PUMA x Wicked Speedcat Ballet Silver Slippers,This item is on sale. Price dropped from $90.00 to $69.99$69.99$90.0022% off,https://www.footlocker.com/product/puma-x-wicked-speedcat-ballet-silver-slippers-womens/40713501.html
IH3993,adidas Originals Tokyo,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-womens/IH3993.html
JI2663,adidas Originals Japan,$120.00,https://www.footlocker.com/product/adidas-originals-japan-womens/JI2663.html
KI4173,adidas Tokyo Zebra,$100.00,https://www.footlocker.com/product/adidas-tokyo-zebra-womens/KI4173.html
40098648,PUMA Speedcat OG,$100.00,https://www.footlocker.com/product/puma-speedcat-og-womens/40098648.html
U204L7AM,New Balance 204L,$120.00,https://www.footlocker.com/product/new-balance-204l-womens/U204L7AM.html
IH5490,adidas Originals Japan,$120.00,https://www.footlocker.com/product/adidas-originals-japan-womens/IH5490.html
40358901,PUMA Speedcat Go,$90.00,https://www.footlocker.com/product/puma-speedcat-go-womens/40358901.html
40871801,PUMA Speedcat Lux,$110.00,https://www.footlocker.com/product/puma-speedcat-lux-womens/40871801.html
IE3425,adidas Originals SL 72,$100.00,https://www.footlocker.com/product/adidas-originals-sl-72-womens/IE3425.html
40098649,PUMA Speedcat OG,$100.00,https://www.footlocker.com/product/puma-speedcat-og-womens/40098649.html
JH8654,adidas Originals SL 72,$100.00,https://www.footlocker.com/product/adidas-originals-sl-72-womens/JH8654.html
40358908,PUMA Speedcat Go,$90.00,https://www.footlocker.com/product/puma-speedcat-go-womens/40358908.html
IH6610,adidas Originals Tokyo,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-womens/IH6610.html
IH6640,adidas Originals Tokyo,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-womens/IH6640.html
JQ0597,adidas Originals Tokyo,$90.00,https://www.footlocker.com/product/adidas-originals-tokyo-womens/JQ0597.html
40158103,PUMA Speedcat Ballet Metallic,$90.00,https://www.footlocker.com/product/puma-speedcat-ballet-metallic-womens/40158103.html
KJ6153,adidas Originals Japan,$120.00,https://www.footlocker.com/product/adidas-originals-japan-womens/KJ6153.html
HQ7400,adidas Barreda Mary Jane,$70.00,https://www.footlocker.com/product/adidas-barreda-mary-jane-womens/HQ7400.html
IH1605,adidas Originals Japan,$120.00,https://www.footlocker.com/product/adidas-originals-japan-womens/IH1605.html
53219060,PUMA Speedcat OG,$100.00,https://www.footlocker.com/product/puma-speedcat-og-womens/53219060.html
